station,year,Month,sst.station
9,21,2,3.3066091954022987
9,21,3,3.1209005376344088
9,21,4,3.638888888888889
9,22,1,3.5713709677419354
9,22,2,2.3077338129496403
9,22,4,3.3988372093023256
9,23,1,4.169153225806451
9,23,2,2.8529761904761903
9,23,3,3.068217054263566
9,23,4,4.526975683890577
9,24,1,4.637556561085973
9,24,2,3.625203915171289
9,24,3,3.537970430107527
9,24,4,4.542777777777777
9,25,1,4.153561827956989
9,25,2,3.2020172910662823
9,25,3,3.1995295698924733
9,25,4,4.638125
9,26,1,3.7991157556270094
9,26,2,2.5920955882352943
9,26,3,2.665100154083205
9,26,4,3.854807692307692
NA,27,1,NA
NA,27,2,NA
NA,27,3,NA
NA,27,4,NA
NA,27,1,NA
NA,27,2,NA
NA,27,3,NA
NA,27,4,NA
NA,27,1,NA
NA,27,2,NA
NA,27,3,NA
NA,27,4,NA
NA,27,1,NA
NA,27,2,NA
NA,27,3,NA
NA,27,4,NA
NA,27,1,NA
NA,27,2,NA
NA,27,3,NA
NA,27,4,NA
NA,27,1,NA
NA,27,2,NA
NA,27,3,NA
NA,27,4,NA
NA,27,1,NA
NA,27,2,NA
NA,27,3,NA
NA,27,4,NA
NA,27,1,NA
NA,27,2,NA
NA,27,3,NA
NA,27,4,NA
NA,27,1,NA
NA,27,2,NA
NA,27,3,NA
NA,27,4,NA
